#;Código;Nombre genérico;Nombre comercial;Presentación
168;102095601;HORMONA DE CRECIMIENTO (SOMATROPINA) 5-16mg, solución o polvo  con diluyente, S.C.;GENOTROPIN 36 UI ( 12 MG/ML) POLVO LIOFILIZADO PARA SOLUCIÓN INYECTABLE + DILUYENTE S.C. | GENOTROPIN 16 UI ( 5.3 MG/ML) POLVO LIOFILIZADO PARA SOLUCION INYECTABLE + DILUYENTE S.C. | NORDITROPIN NORDIFLEX 5MG/1.5ML SOLUCIÓN PARA INYECCIÓN;Vial/Ampolla
169;102095301;ICODEXTRINA 7.5%, solución, Intraperitoneal.;EXTRANEAL SOLUCION PARA DIALISIS PERITONEAL CON ICODEXTRIN;Vial/Ampolla
170;102073501;IFOSFAMIDA 1g, polvo liofilizado, I.V.;IFOSFAMIDA LIBRA 1 G POLVO LIOFILIZADO PARA SOLUCIÓN INYECTABLE INFUSIÓN I.V. | HOLOXAN 1G/VIAL POLVO PARA SOLUCIÓN INYECTABLE I.V. POR INFUSIÓN;Vial/Ampolla
171;101091601;IMATINIB MESILATO 100mg, cápsula o tableta, V.O.;MESILATO DE IMATINIB 1-- MG COMPRIMIDOS RECUBIERTOS | IMATINIB ACCORD 1-- MG COMPRIMIDOS RECUBIERTOS CON PELÍCULA EFG;Pastilla - Cápsula
172;101092301;IMATINIB MESILATO 400mg, cápsula o tableta, V.O.;MESILATO DE IMATINIB 4-- MG COMPRIMIDOS RECUBIERTO | APO -IMATINIB 4-- MG TABLETAS RECUBIERTA | IMATINIB AQVIDA 4-- MG CAPSULAS DURAS | IMATINIB (MESILATO) 4--MG, CÁPSULAS VÍA ORA;Pastilla - Cápsula
173;101091001;INDAPAMIDA 1.5mg, tableta de acción prolongada, V.O.;Natrilix SR 1.5mg Comprimidos Peliculados de Liberación Prolongada | LORVAS SR 1.5 MG TABLETAS DE LIBERACIÓN SOSTENIDA;Pastilla - Cápsula
174;102069501;INDOMETACINA SÓDICA 1mg, polvo liofilizado o solución, I.V.;INDOMETACINA 1MG/VIAL POLVO LIOFILIZADO PARA SOLUCION INYECTABLE I.V. (USP);Vial/Ampolla
175;102092301;INFLIXIMAB 100mg, polvo liofilizado, I.V.;REMSIMA 1-- MG/VIAL POLVO LIOFILIZADO PARA SOLUCIÓN INYECTABLE INFUSIÓN I.V. | IXIFI 1--MG POLVO LIOFILIZADO PARA SOLUCIÓN INYECTABLE;Vial/Ampolla
176;102001901;INMUNOGLOBULINA ANTI-D HUMANA 125-150mcg/ml o su equivalente en UI, solución, I.M.;Rhophylac 3-- (3-- MCG / 2 ML) SOLUCION INYECTABLE I.M., I.V. JERINGA PRELLENADA. | HYPER RHO S/D INMUNOGLOBULINA RhO (D) (HUMANA) TRATADO CON SOLVENTE / DETERGENTE SOLUCION INYECTABLE I.M;Vial/Ampolla
177;102007701;INMUNOGLOBULINA ANTITETÁNICA 250UI, solución, I.M.;S/P REGISTRADO;Vial/Ampolla
178;102082101;INSULINA ANÁLOGA DE ACCIÓN PROLONGADA GLARGINA 100UI/ml, solución, S.C.;LANTUS 1-- U/ML SOLUCION INYECTABLE S.C.;Vial/Ampolla
179;102095101;INSULINA ANÁLOGA LISPRO 100UI/ml, solución, S.C., I.V.;HUMALOG INSULINA LISPRO 1-- U/ML SOLUCION INYECTABLE I.V., S.C.;Vial/Ampolla
